fid,DOI,저자,연도,제목,데이터베이스,검토자1,검토자2,마지막검토일,중복여부,포함여부,배제사유키워드,배제사유내용,다음단계여부
22,10.3390/buildings15193619,"Ren, Z.|Chen, H.|Sheng, S.|Wang, H.|Zhang, J.|Lu, M.",2025,"Mapping Multi-Temporal Heat Risks Within the Local Climate Zone Framework: A Case Study of Jinan’s Main Urban Area, China",Scopus,,,,N,N,녹지형태주제아님,도시 대상과 온열지표는 적합하나 핵심 주제가 녹지 형태 또는 구성 변수의 효과 분석이 아니며 LCZ와 HEVA 기반 열위험 매핑 및 ISA·FAR 등 비녹지 요인에 초점임,배제
23,10.1016/j.scs.2025.106845,"Hussainzad, E.A.|Gou, Z.",2025,"A machine learning framework for urban heat mitigation in informal settlements: Climate-resilient planning in Kabul, Afghanistan",Scopus,,,,N,Y,N/A,N/A,진행
24,10.1016/j.ufug.2025.128983,"Li, L.|Kross, A.|Ziter, C.D.|Eicker, U.",2025,Analyzing spatial patterns of urban green infrastructure for urban cooling and social equity,Scopus,,,,N,Y,N/A,N/A,진행
25,10.1016/j.ufug.2025.128953,"Shen, N.|Feng, F.|Xu, C.|Li, X.|Chiriacò, M.V.|Lafortezza, R.",2025,Drone-based assessment of urban green space structure and cooling capacity,Scopus,,,,N,Y,N/A,N/A,진행
26,10.1016/j.rse.2025.114867,"Zhou, S.-Q.|Yu, Z.-W.|Wu, W.-B.|Yang, W.-J.|Zhang, Y.-J.|Hao, Y.-Y.|Yuan, Q.|Xu, D.-F.|Hu, J.-Y.|Zhao, B.",2025,Quantifying cumulative cooling threshold of greenspaces using a newly developed 3D model across global cities,Scopus,,,,N,Y,N/A,N/A,진행
27,10.1016/j.compenvurbsys.2025.102320,"Lin, L.|Zhao, Y.|Zhao, J.",2025,Optimizing urban green space spatial patterns for thermal environment improvement: A multi-objective approach in the context of urban renewal,Scopus,,,,N,Y,N/A,N/A,진행
28,10.1016/j.scs.2025.106777,"Abedrabboh, O.|Fountoukis, C.|Al-Ansari, T.|Alfarra, M.R.",2025,"Simulating microclimate adaptation: Evaluating heat mitigation strategies for Doha, Qatar, under current and future climate conditions",Scopus,,,,N,Y,N/A,N/A,진행
29,10.1016/j.asr.2025.07.012,"Parida, B.R.|Prasad, K.|Swain, S.K.|Dwivedi, C.S.|Pandey, A.C.|Swain, K.C.",2025,Evaluating urban bioclimatic comfort in a metropolitan city Kolkata with urban dynamics and heat Islands,Scopus,,,,N,Y,N/A,N/A,진행
30,10.3390/land14091759,"Ramanauskas, E.|Bukantis, A.|Dringelis, L.|Kaveckis, G.|Jonkutė, G.",2025,Urban Environment and Structure of Lithuanian Cities: Their Assessment in the Context of Climate Change and Other Potential Threats,Scopus,,,,N,Y,N/A,N/A,진행
31,10.3390/land14091717,"Huang, X.|Hou, L.|Guan, S.|Li, H.|Sándor, J.|Albert, F.|Filepné Kovács, F.K.|Li, H.",2025,Research on the Spatio-Temporal Differentiation of Environmental Heat Exposure in the Main Urban Area of Zhengzhou Based on LCZ and the Cooling Potential of Green Infrastructure,Scopus,,,,N,Y,N/A,N/A,진행
32,10.3390/land14091815,"Jovanović, S.|Janković-Milić, V.|Stanković, J.J.|Stanojević, M.",2025,The Role of Urban Tree Areas for Biodiversity Conservation in Degraded Urban Landscapes,Scopus,,,,N,N,열환경 지표 부재,도시와 녹지 구성 변수는 해당하나 결과변수에 지표온도나 열섬강도 등 도시 온열환경 지표가 없어 포함 기준 불충족,배제
33,10.3390/su17188093,"Peng, W.|Dai, D.|Liu, F.|Wang, X.",2025,Spatiotemporal Heterogeneity and Socioeconomic Drivers of Landscape Patterns in High-Density Communities of Wuhan,Scopus,,,,N,N,열지표 미포함,도시지역과 녹지 경관지표를 다루지만 결과변수에 지표온도나 열섬 등 도시 온열환경 지표가 없어 포함 기준을 충족하지 않음,배제
34,10.3390/rs17183211,"Xu, F.|Shen, Y.|Zheng, M.|Zhang, X.|Zuo, Y.|Wang, X.|Zhang, M.",2025,Characterizing the Thermal Effects of Urban Morphology Through Unsupervised Clustering and Explainable AI,Scopus,,,,N,N,녹지형태변수부재,도시지역과 LST 등 온열지표는 다루지만 노출은 건축형태·NDBI·SVF 등 도시형태 중심으로 녹지의 형태/구성 변수를 핵심적으로 분석하지 않아 포함 기준(녹지 변수)에 부합하지 않음,배제
35,10.3390/land14091813,"Zhang, X.|Zhang, J.",2025,Exploring the Impact of Urban Characteristics on Diurnal Land Surface Temperature Based on LCZ and Machine Learning,Scopus,,,,N,Y,N/A,N/A,진행
36,10.3390/plants14172753,"Wang, X.|Zhao, C.|Yu, M.|Hu, Y.|Gao, Z.",2025,Multidimensional Urbanization Effects on Spontaneous Plant Diversity in a Cold Climate Megacity,Scopus,,,,N,N,열환경지표아님,도시 지역과 녹지 구성 변수는 다루지만 결과변수가 자생식물 종다양성으로서 도시 온열환경 지표를 다루지 않아 제외,배제
37,10.3390/s25175380,"Hoang, N.-D.",2025,"Machine Learning Approaches for Geospatial Modeling of Urban Land Surface Temperature: Assessing Geographical Compactness, Interpretability, and Causal Inference",Scopus,,,,N,Y,N/A,N/A,진행
38,10.1007/s00704-025-05694-7,"Zaid, H.A.B.|Mughal, U.M.|Amin, M.|Sajjad, M.M.|Farhan, M.|Sattar, A.|Ali, S.|Ali, M.|Ain, Q.U.",2025,Evaluating the cooling potential of urban green spaces in Faisalabad integrating invest urban cooling model with multisource remote sensing data,Scopus,,,,N,Y,N/A,N/A,진행
39,10.1016/j.uclim.2025.102575,"Cai, S.|Li, L.|Gao, D.|Zeng, X.|Wang, Z.",2025,Cooling inequity: Investigating environmental equity in residents' access to cooling services from urban parks using an improved 2FSCA model,Scopus,,,,N,Y,N/A,N/A,진행
40,10.1016/j.indic.2025.100850,"Xu, Y.|Yao, L.|Chen, A.",2025,Unraveling urban thermal comfort dynamics: Multi-scale interactions with urban building and green space landscapes in Beijing,Scopus,,,,N,Y,N/A,N/A,진행
41,10.1016/j.scs.2025.106689,"Cheng, H.|Cai, Y.|Zhang, D.|Luo, S.|Li, M.|Hu, Y.|Ma, S.",2025,Neighboring matters: quantifying internal morphology and external spatial interactions on land surface temperature among urban functional zones,Scopus,,,,N,Y,N/A,N/A,진행
42,10.1007/s11069-025-07532-5,"Sun, R.|Yang, L.|Feng, C.|Xiang, J.|Liu, C.|Zhou, J.|Liu, Y.",2025,Spatiotemporal heterogeneity of temperature change and its dynamic response to river network system evolution in the South China,Scopus,,,,N,N,비도시포함;녹지아님(하천);열지표비핵심,연구범위가 유역 규모로 도시지역에 한정되지 않으며 주요 변수도 녹지 형태가 아닌 하천 네트워크임; 결과변수 역시 평균·최고·최저 기온 중심으로 도시 열섬·지표온도·열쾌적성 등 직접적 도시 열환경 지표 평가가 핵심이 아님,배제
43,10.1007/s00024-025-03787-y,"Toy, S.|Eren, Z.",2025,Spatial Analysis of Sensitive Urban Zones to UHI Formation Through the Parametrization of Urban Features,Scopus,,,,N,N,녹지 변수 비중 낮음 및 결과는 민감도 지수,도시 대상은 맞으나 녹지 형태·구성은 핵심 주제가 아니며 다양한 공간 사회 경제 지표로 UHI 민감도만 추정하여 실제 도시 온열환경 지표는 다루지 않음,배제
44,10.1016/j.jenvman.2025.126586,"Bandeira Rodrigues, A.|Dos Santos Araujo, D.C.|Menezes de Farias, V.E.|Cabral, J.J.",2025,Predictive modelling of land use land cover dynamics for a coastal urban city in Brazil,Scopus,,,,N,N,도시연구이나 온열지표 미포함,도시(헤시피)에서 LULC 변화 예측과 녹지·토지피복 구성 분석을 수행하지만 결과변수가 지표온도·열섬·열쾌적성 등 도시 온열환경 지표가 아니므로 제외,배제
45,10.1016/j.buildenv.2025.113361,"Zhong, Z.|Ma, Q.|Fang, X.|Kong, L.|Cao, Q.|Liu, L.|Zhou, R.|Du, S.",2025,Who are marginalized? Unequal distribution of urban street shading in Shanghai,Scopus,,,,N,N,열지표부재;음영분포형평성,도시지역과 가로수 등 녹지요소를 다루지만 결과변수는 음영의 공간분포와 형평성으로 한정되어 지표온도·열섬강도·보행자열쾌적성 등 도시 온열환경 지표를 직접 산출하지 않음,배제
46,10.1007/s43995-025-00153-w,"Chahbi, M.|El Ganadi, Y.|Idrissi Gartoumi, K.",2025,"Monitoring urban vegetation by GeoAI driven multi-scale indices: a case study of Rabat, Morocco",Scopus,,,,N,N,열환경지표미측정,도시(라바트)와 녹지(UGS·NDVI/EVI 등)를 다루지만 결과변수는 식생지수·분포 평가에 한정되며 지표온도·열섬강도·열쾌적성 등 도시 온열환경 지표를 직접 측정/분석하지 않아 제외.,배제
47,10.1002/ldr.5683,"Raduła, M.W.|Szymura, T.H.|Świerszcz, S.|Mollashahi, H.|Szymura, M.",2025,"Plant Functional Composition, Ecological Niche Distribution, and Biodiversity Measures Across Urban Grasslands of Different Size, Localisation, and Type",Scopus,,,,N,N,열환경 지표 없음,도시 지역과 녹지 형태를 다루지만 결과변수가 생물다양성·기능형질로 한정되어 있으며 도시 온열환경 지표(지표온도·열섬강도·열쾌적성 등)를 측정하지 않아 제외됩니다.,배제
48,10.1016/j.buildenv.2025.113281,"Li, S.|Zhang, J.|Xiao, Q.|Fang, K.|Ha, S.|Liu, H.|Teng, M.|Wu, X.|Wu, C.",2025,"Ameliorating canopy urban heat island in block level: A holistic investigation into the radius, form, and typologies",Scopus,,,,N,Y,N/A,N/A,진행
49,10.1016/j.envres.2025.121782,"Khomenko, S.|Burov, A.|Dzhambov, A.M.|de Hoogh, K.|Helbich, M.|Mijling, B.|Hlebarov, I.|Popov, I.|Dimitrova, D.|Dimitrova, R.|Markevych, I.|Germanova, N.|Brezov, D.|Iungman, T.|Montana, F.|Chen, X.|Gehring, U.|Khreis, H.|Mueller, N.|Zapata-Diomedi, B.|Zhang, J.|Nieuwenhuijsen, M.",2025,"Health burden and inequities of urban environmental stressors in Sofia, Bulgaria",Scopus,,,,N,N,결과변수-건강영향; 열환경지표 아님; 녹지형태구성 미포함,도시 연구이지만 녹지 변수는 가용성 수준으로 형태나 구성 분석이 아니며 결과변수도 UHI 등 노출의 건강영향 추정으로 사망과 질병을 평가하여 도시 온열환경 지표를 직접 결과로 다루지 않음,배제
50,10.3390/atmos16080935,"Kosanović, S.|Marković, Đ.|Stamenkovic, M.",2025,New Belgrade’s Thermal Mosaic: Investigating Climate Performance in Urban Heritage Blocks Beyond Coverage Ratios,Scopus,,,,N,Y,N/A,N/A,진행
51,10.3390/atmos16080899,"Sharmin, M.|Esperon-Rodriguez, M.|Clackson, L.|Pfautsch, S.|Power, S.A.",2025,Heat Impact of Urban Sprawl: How the Spatial Composition of Residential Suburbs Impacts Summer Air Temperatures and Thermal Comfort,Scopus,,,,N,Y,N/A,N/A,진행
52,10.3390/plants14162457,"Sun, Q.|Li, D.|Tang, X.|Ren, Y.",2025,"Vegetation-Specific Cooling Responses to Compact Urban Development: Evidence from a Landscape-Based Analysis in Nanjing, China",Scopus,,,,N,Y,N/A,N/A,진행
53,10.3390/land14081541,"Xuan, J.|Li, S.|Huang, C.|Zhang, X.|Mao, R.",2025,"Spatiotemporal Dynamics of Heat-Related Health Risks of Elderly Citizens in Nanchang, China, Under Rapid Urbanization",Scopus,,,,N,N,결과변수 비해당(건강위험지수),도시지역을 대상으로 하고 녹지·불투수면 등 구성변수를 다루지만 주요 결과가 도시 온열환경 지표가 아니라 노인 열관련 건강위험지수여서 제외함.,배제
54,10.3390/land14081633,"Muscas, D.|Bonciarelli, L.|Filipponi, M.|Orlandi, F.|Fornaciari, M.",2025,Urban Tree CO2 Compensation by Albedo,Scopus,,,,N,N,결과가 CO2-등가 환산 중심으로 온열지표 부재,도시 공원을 다루고 녹지 구성 변수를 분석하지만 핵심 결과가 복사강제력을 CO2-등가 배출로 환산한 보상효과에 집중되어 있으며 지표온도·열섬강도·보행자 열쾌적성 등 직접적인 도시 온열환경 지표를 산출·평가하지 않음.,배제
55,10.3390/land14081681,"Proutsos, N.D.|Solomou, A.D.|Stefanidis, S.P.",2025,From Bare Soil to Green Infrastructure: Micrometeorological Benefits from the Restoration of a Small Urban Park in a Mediterranean City,Scopus,,,,N,Y,N/A,N/A,진행
56,10.1002/ece3.71978,"Meola, V.|Ekklisiarchos, I.|Cistrone, L.|Migliozzi, A.|Russo, D.",2025,Landscape and Season Influence Bat Activity and Richness in a Mediterranean Metropolitan Area,Scopus,,,,N,N,열환경 지표 부재,도시와 녹지 구성은 다루지만 결과변수가 박쥐 활동·종풍부도이며 지표온도·열섬강도·열쾌적성 등 도시 온열환경 지표를 다루지 않아 포함 기준에 부합하지 않음,배제
57,10.48084/etasr.11734,"Muslimsyah, M.|Safwan, S.|Akhyar, A.",2025,"Simulations of Temperature and Wind Speed Contours and Vectors for Thermal Comfort Analysis in Worship Spaces: The Case Study of Baiturrahman Grand Mosque, Indonesia",Scopus,,,,N,N,실내열쾌적 중심·녹지변수 없음·도시열지표 아님,도시 맥락 언급은 있으나 연구는 모스크 실내 CFD로 온도와 풍속 분포 및 패시브 설계를 평가함 녹지 형태나 구성 변수를 다루지 않으며 결과도 도시 수준 열환경 지표가 아닌 실내 값이므로 제외,배제
58,10.1007/s10661-025-14392-w,"Saini, J.|Gupta, A.K.|Dhupper, R.|Shrivastava, A.",2025,"Spatio-temporal study of urban dynamics with implications on land surface temperature of Gurugram City, India",Scopus,,,,N,Y,N/A,N/A,진행
59,10.1007/s00704-025-05657-y,"Hari Prasad, P.S.H.|Satyanarayana, A.N.V.",2025,Estimation of outdoor thermal comfort by integrating landsat derived LULC to WRF-UCM model over a metropolitan city of India,Scopus,,,,N,Y,N/A,N/A,진행
60,10.1007/s11252-025-01769-5,"Sökmen, E.D.|Aksoy, O.",2025,Evaluation of climate justice in open green spaces based on landscape metrics: the case of Istanbul,Scopus,,,,N,Y,N/A,N/A,진행
61,10.1016/j.uclim.2025.102500,"Ma, T.|Chen, C.-C.|Yu, F.|Chen, G.",2025,Towards climate-responsive communities: Exploring the nonlinear relationship between residential morphology and land surface temperature,Scopus,,,,N,Y,N/A,N/A,진행
62,10.1016/j.cacint.2025.100214,"Gu, J.|Kim, D.|Jun, C.|Son, S.",2025,Quantitative assessment of factors that influence heat vulnerability in residential areas using machine learning and unmanned aerial vehicle,Scopus,,,,N,Y,N/A,N/A,진행
63,10.1016/j.ecofro.2025.04.002,"Deng, Q.|Xie, M.|Chen, Y.",2025,Combined effects of building and tree on the diurnal thermal environment in urban functional zones from 2D and 3D perspectives,Scopus,,,,N,Y,N/A,N/A,진행
64,10.1016/j.cities.2025.106006,"Wang, Z.|Shi, P.|Shi, J.|Zhang, X.|Liu, Y.",2025,Research on the relationship between urban space and ecological environment evolution at the grid scale: a case study of Lanzhou City,Scopus,,,,N,N,녹지형태변수부재,도시지역 대상이며 LST를 포함하지만 노출이 도시확장 및 불투수율 ERI ESV 중심으로 녹지 형태나 구성 변수를 직접적으로 다루지 않아 포함 기준에 부합하지 않음,배제
65,10.1016/j.scs.2025.106643,"Moncada-Morales, G.A.|Livesley, S.J.|Nice, K.A.|Pianella, A.|Carpio, M.",2025,Intense drought and vegetation browning exacerbate air temperature rise in unirrigated peri-urban areas under global warming,Scopus,,,,N,Y,N/A,N/A,진행
66,10.1016/j.scs.2025.106597,"Jang, S.|Jung, J.",2025,Urban form and green space structure as drivers of urban heat mitigation,Scopus,,,,N,Y,N/A,N/A,진행
67,10.1016/j.scs.2025.106541,"Kotharkar, R.|Vidyasagar, A.",2025,Cooling efficacy assessment of urban green spaces using machine learning-based multivariate landscape analysis,Scopus,,,,N,Y,N/A,N/A,진행
68,10.1016/j.scs.2025.106531,"Barui, J.|Das, S.|Shib, S.|Mondal, S.|Deep Saha, U.D.|Mitra, D.|Bagchi, E.|Kar, J.|Prokop, P.|Saha, O.|Mukhopadhyay, U.",2025,Intensification of land surface temperature and its seasonal variation in rapidly growing municipalities of Kolkata metropolitan area,Scopus,,,,N,Y,N/A,N/A,진행
69,10.1016/j.landurbplan.2025.105344,"Li, M.|Liu, H.",2025,Enhancing the cooling effect of urban green infrastructure: An empirical analysis of interactive impacts and optimizing pathways over 310 Chinese cities,Scopus,,,,N,Y,N/A,N/A,진행
70,10.38094/jastt62241,"Al-Khafaji, A.S.|Nasar, Z.A.|Almudhafar, A.F.|Alyasiri, Z.J.|Althabhawi, G.J.",2025,"Evaluating Green Space Design Alternatives Using Sustainable Thresholds: A Case Study of Bayti Residential Complex, Najaf, Iraq",Scopus,,,,N,Y,N/A,N/A,진행
71,10.3390/su17146637,"Al-Zghoul, S.|Al-Homoud, M.",2025,"GIS-Driven Spatial Planning for Resilient Communities: Walkability, Social Cohesion, and Green Infrastructure in Peri-Urban Jordan",Scopus,,,,N,N,도시온열지표 부재; 녹지구성 변수 비핵심; 사회응집성 중심,연구대상은 암만 준도시 지역이지만 보행가능성과 사회적 응집성을 중심으로 분석하며 독립변수는 가로연결성·밀도·토지혼합도 등으로 구성되고 녹지 형태/구성 지표를 정량적으로 다루지 않음; 결과변수로 지표온도·열섬강도·보행자 열쾌적성 등 도시 온열환경 지표를 측정하거나 모델링하지 않아 포함 기준 미충족,배제
72,10.3390/land14071393,"Li, Y.|Zhao, L.|Zheng, H.|Yang, X.",2025,Using New York City’s Geographic Data in an Innovative Application of Generative Adversarial Networks (GANs) to Produce Cooling Comparisons of Urban Design,Scopus,,,,N,Y,N/A,N/A,진행
73,10.3390/land14071470,"Bečić, D.|Gašparović, M.",2025,Urban Heat Islands and Land-Use Patterns in Zagreb: A Composite Analysis Using Remote Sensing and Spatial Statistics,Scopus,,,,N,Y,N/A,N/A,진행
74,10.3390/atmos16070857,"Liu, J.|Wu, X.|Pan, L.|Hsieh, C.-M.",2025,Multi-Scale Analysis of the Mitigation Effect of Green Space Morphology on Urban Heat Islands,Scopus,,,,N,Y,N/A,N/A,진행
75,10.3390/land14071330,"Wang, M.|Su, Y.|Wang, J.",2025,How to Improve Blue–Green–Gray Infrastructure to Optimize River Cooling Island Effect on Riparian Zone for Outdoor Activities in Summer,Scopus,,,,N,Y,N/A,N/A,진행
76,10.3390/buildings15132261,"Zhou, H.|Wang, R.|Hou, H.|Xie, B.|Hu, T.",2025,Optimizing Urban Thermal Environments Through 2D/3D Landscape Pattern Analysis: A Machine Learning-Driven Approach for the Yangtze River Delta Urban Agglomeration,Scopus,,,,N,Y,N/A,N/A,진행
77,10.3390/buildings15132166,"Ren, J.|Xu, X.|Jiang, J.",2025,Optimizing Public Space Quality in High-Density Old Districts of Asian Megacities: Thermal Environment Analysis of Shenzhen’s Urban Fringe,Scopus,,,,N,Y,N/A,N/A,진행
78,10.15243/jdmlm.2025.124.8391,"Deviro, S.O.|Karlinasari, L.|Nurhayati, A.D.",2025,"Urban Heat Island phenomenon and the role of urban green spaces in regulating thermal comfort in Bogor City, Indonesia",Scopus,,,,N,Y,N/A,N/A,진행
79,10.1007/s00704-025-05597-7,"Saha, A.|Saha, S.|Das, A.|Mandal, S.|Sarkar, R.|Das, M.",2025,Unveiling the landscape fragmentation and its impact on land surface temperature using machine learning approach in Kolkata Metropolitan Area (India),Scopus,,,,N,Y,N/A,N/A,진행
80,10.1016/j.buildenv.2025.113100,"Su, Y.|Wang, Y.|Huang, Z.|Peng, T.|Han, Y.|Wang, W.|Meng, Q.|Saimaiti, A.",2025,"Optimization strategies for outdoor thermal comfort at urban core transportation hub in summer–A case of Turpan Station, China",Scopus,,,,N,Y,N/A,N/A,진행
81,10.1016/j.buildenv.2025.113096,"Shi, D.|Song, J.|Huang, X.|Chan, P.W.",2025,Modelling and optimization of urban green-blue infrastructure design for city cooling,Scopus,,,,N,Y,N/A,N/A,진행
82,10.1016/j.buildenv.2025.113087,"Lin, B.-S.|Tsai, Y.-H.|Chang, H.-C.|Yu, C.-C.|Hsieh, C.-I.",2025,Building with nature: Morphological spatial pattern of green infrastructure in urban heat mitigation,Scopus,,,,N,Y,N/A,N/A,진행
83,10.1016/j.buildenv.2025.113052,"Sheng, Q.|Zhang, C.|Huang, Y.|Jia, C.|Liu, C.|Dai, A.|Zhu, Z.|Huang, Z.",2025,The mediating effect of microclimate in the impacts of roadside vegetation barriers on air pollution in pedestrian spaces,Scopus,,,,N,Y,N/A,N/A,진행
84,10.1016/j.enbuild.2025.115736,"Glytsos, T.|Mavrigiannaki, A.|Kalogirou, E.|Litos, B.|Anastasiadou, P.-S.|Kolokotsa, D.",2025,"Introducing the environmental justice perspective in the evaluation of NbS implementation; Chania, Crete case study",Scopus,,,,N,Y,N/A,N/A,진행
85,10.31548/forest/2.2025.136,"Shahini, E.|Shahini, E.",2025,Role of urban green spaces and tree plantations in improving ecosystem services and urban resilience,Scopus,,,,N,Y,N/A,N/A,진행
